,Neighborhood,address,bath,bed,description,latitude,logitude,page_url,price,rent,sale,size,year built,zipcode
36,Lower East Side,NaN,NaN,NaN,NaN,40.737098,-73.986099,https://www.zillow.com:443/homedetails/82-Irving-Pl-1D-2D-2E-New-York-NY-10003/2085484791_zpid/,NaN,NaN,NaN,--,1950,NaN
37,Lower East Side,NaN,NaN,NaN,NaN,40.736985,-73.985162,https://www.zillow.com:443/homedetails/31-Gramercy-Park-S-APT-2A-New-York-NY-10003/113499167_zpid/,NaN,NaN,NaN,--,1930,NaN
38,Lower East Side,"77 E 12th St APT 2K, New York, NY 10003",1,1,"For sale: $875,000. Back on the Market!

Live an indoor/outdoor lifestyle at 77 East 12th Street, 2K a spacious one bedroom home with its very own secluded terrace! Featuring a long entry way, an ""Art Collectors Dream"" that boasts two large closets, and a well proportioned living room with wall to wall windows.There is ample room for dining and an expansive beautifully landscaped Terrace to enjoy a drink, dinner, garden or just read a good book! ! The Cook's Kitchen has stainless steel appliances with a dishwasher. The apartment has an abundance of closet space, stunning Hardwood floors, and central air conditioning. Pied-a-Terres and a liberal sublet policy make this a Must See! 77 East 12th Street is a full service doorman building with a live in Super and an amazing 360 degree Panoramic Roof Deck to enjoy drinks at sunset or to just relax and admire the downtown skyline. Storage is also available as well as a central laundry room. Washer and Dryers are permitted. Guarantors are permitted. This location is hard to beat -- 2 blocks from Union Square, Poke Spot, Pie, Whole Foods, Trader Joes, Agata and Valentina and multiple subway lines. Enjoy the many wonderful cafes and restaurants in the area. This stunning urban retreat awaits you. Live in Manhattan's most vibrant and exciting downtown neighborhood. This is a Terrace Lovers' Retreat!",40.733105,-73.990479,https://www.zillow.com:443/homedetails/77-E-12th-St-APT-2K-New-York-NY-10003/244767481_zpid/,875000.00,0,1,600,1963,10003
39,Lower East Side,"32 E 1st St # PHB, New York, NY 10003",3,3,"For sale: $8,700,000. *SPECTACULAR PENTHOUSE WITH NORTH, SOUTH & WEST VIEWS*

*IMMEDIATE OCCUPANCY*

*SPECTACULAR ON-SITE MODEL RESIDENCE BY APPOINTMENT*

Incredible 3 bedroom, 3 bathroom Duplex Penthouse positioned on the top of 32 East 1st Street, Where Chrystie Meets Bond. One of only three pinnacle residences, PHB offers brushed solid white oak wood floors throughout, featuring 10' ceilings and expansive triple-pane windows with 360-degree views of the downtown and midtown skylines and bathing the unit in light. An expansive private terrace, spanning nearly 1,200 SF across the entire width of the home, with a fully equipped outdoor kitchen and Wolf grilling station, finished with travertine floors and planters integrated with lights & speakers, creates a space ideal for indoor/outdoor living and entertaining. 

Particular attention to detail is demonstrated in the kitchen open to the expansive living room with a built in fireplace, the chefs kitchen features book-matched natural bianco lasa marble slab countertops and backsplashes, custom brushed solid oak wood Italian cabinets integrated with a full suite of Wolf, Miele and Sub-Zero appliances. The five fixture master bathroom sanctuary is beautifully appointed with vanilla onyx walls and floors with radiant heat, perfectly accented by a brushed solid oak wood dual vanity topped with a Corian countertop and dual sinks, matched by a custom designed Antonio Lupi ""Sartoriale"" Cristalplant soaking tub; the space is completed with a separate glass enclosed rain-shower a wall mounted Duravit Washlet toilet and custom Italian fixtures by CEA Design. The secondary bathrooms are also clad with travertine walls and radiant heated floors, a brushed solid oak wood vanity topped with a Corian countertop and sink, the space is completed with a glass enclosed rain-shower, a wall mounted Duravit Washlet toilet and custom Italian fixtures by CEA Design. Additional featured enhancements typically overlooked; include an integrated audio system by Sonos, closets outfitted by Molteni, controlled recessed LED lighting by Delta and electronic shades by Lutron. 

32 East 1st Street features a limited collection of thirty highly designed one to three bedroom residences at the nexus of NoHo, the East Village and Lower East Side. Inspired by the contemporary aesthetic of Italian rationalist design, 32 East 1st Street purposely lives within its urban context, presenting a substantial limestone exoskeleton accentuated by expansive triple-pane windows and geometric metal detailing.

Equal Housing Opportunity. The complete offering terms are in an offering plan available from the Sponsor, under New York State Department of Law File No. CD16-0149. Sponsor: 24 Second Avenue Owner LLC, C/O Aore Holdings, LLC, 49 Bleecker Street, Suite 301, New York, New York 10012.All Artist's Renderings Are For Illustrative Purposes Only And Subject To Variances. Interior Decoration, Finishes, Appliances And Furnishings Depicted In An Artist's Rendering Are Provided For Illustrative Purposes Only, And Are Not Necessarily Indicative Of What Is Specified In The Offering Plan. All Renderings Of Views And Exposure To Light Are For Illustrative Purposes Only And Subject To Variances. Sponsor Makes No Representations As To Any View And/Or Exposure To Light At Any Time Or As The Same May Be Affected By Any Existing Or Future Construction By Either Sponsor Or A Third Party. All Dimensions Are Approximate And Subject To Normal Construction Variances And Tolerances. Square Footage On Floor Plans Exceeds The Usable Floor Area. Minor Inaccuracies In Square Footage And Inaccuracies In Layout And Room Dimensions As Shown On Floor Plans Will Not Excuse A Purchaser From Completing The Purchase Of A Unit Without Abatement In Price Or Recourse Against Sponsor. Sponsor Reserves The Right To Make Changes To A Unit In Accordance With The Offering Plan. Sponsor Makes No Representations Or Warranties Except As May Be Set Forth In The Offering Plan.",40.7243,-73.990402,https://www.zillow.com:443/homedetails/32-E-1st-St-PHB-New-York-NY-10003/2092746961_zpid/,8700000.00,0,1,2766,2019,10003
40,Lower East Side,NaN,NaN,NaN,NaN,40.733299,-73.991996,https://www.zillow.com:443/homedetails/42-E-12th-St-New-York-NY-10003/2090867449_zpid/,NaN,NaN,NaN,1800,1900,NaN
41,Lower East Side,NaN,NaN,NaN,NaN,40.733001,-73.9878,https://www.zillow.com:443/homedetails/110-3rd-Ave-7ARC1-New-York-NY-10003/2087032005_zpid/,NaN,NaN,NaN,1165,2007,NaN
42,Lower East Side,NaN,NaN,NaN,NaN,40.737297,-73.986724,https://www.zillow.com:443/homedetails/81-Irving-Pl-11EFG-New-York-NY-10003/72516958_zpid/,NaN,NaN,NaN,1900,1930,NaN
43,Lower East Side,NaN,NaN,NaN,NaN,40.734401,-73.986999,https://www.zillow.com:443/homedetails/145-E-15th-St-11KL-New-York-NY-10003/2089474025_zpid/,NaN,NaN,NaN,1250,1959,NaN
44,Lower East Side,"60 E 9th St APT 327, New York, NY 10003",1,1,"For sale: $625,000. This one bedroom apartment features a very large living room, dinning area, a windowed bathroom, North and East exposures and 3 large closets. The Hamilton is a full service co-op with a 24 hour doorman, beautiful landscaped garden, bike room, central laundry and a live-in super.It is conveniently located near all transportation, shopping and restaurants as well as both Union Square and Washington Square Park. Pieds-a-terre, co-purchasing, students and guarantors are not allowed. Gifting is allowed. Pets are welcomed. Subletting is permitted after two years of ownership for up to 3 years. 70% financing available.",40.73127,-73.992521,https://www.zillow.com:443/homedetails/60-E-9th-St-APT-327-New-York-NY-10003/244788437_zpid/,625000.00,0,1,140370,1954,10003
45,Lower East Side,"67 E 11th St APT 706, New York, NY 10003",2,1,"For sale: $1,549,000. Penthouse Perfection!
Luxurious Indoor/Outdoor Penthouse Living! No expense or detail has been spared in gut-renovating this stunning Duplex Penthouse, corner, one bedroom home, boasting two outdoor spaces; a balcony off the living room and a huge, private 250 SF corner, roofdeck, perfect for entertaining or relaxing in the sun. From exposing the original wood beams, incorporating exposed brick and installing custom finish walnut floors throughout, this move-in ready home features a designer Chef's kitchen, with island, top of the line custom panel Thermador appliances, a Perlick commercial quality 40+ bottle wine fridge and cold water, inline filtered water system. It also enjoys a spa style bathroom, with an enormous walk-in steam shower, a half bath, and a built-in LG Styler dry-cleaner. Thought has been put in to making the most of each space, resulting in a tremendous amount of storage, including triple deep bathroom cabinets, several closets and ingenious pop-off stair fronts for shoe storage (complete with under stair lighting). Enjoy sunlight beaming in all afternoon with peaceful North/West exposures. Some of the other prestigious enhancements include Lutron Caesta app controlled dimmable lights and double blinds, with scene settings, illuminated closets, soundproofed floors and walls, a CAT 7 network covering both floors, a hidden A/V rack, multiple Sonos compatible wired speaker zones, a Dolby Atmos compatible living room for the best in home cinema surround sound, LED accent lighting throughout and more. The Cast Iron Building is a 24 Hour Doorman, Greenwich Village landmark building, just steps away from University Place, The Gold Coast and Union Square, a perfect location. Building amenities include a beautiful planted roof-deck with views of the Empire State Building and Grace Church, large storage units, bike room and app controlled modern laundry. Pet friendly and pied-a-terres are permitted. Don't miss this incredible opportunity to live like a star, in the heart of the burgeoning Silicon Alley neighborhood.",40.733026,-73.992283,https://www.zillow.com:443/homedetails/67-E-11th-St-APT-706-New-York-NY-10003/121306425_zpid/,1549000.00,0,1,--,1930,10003
46,Lower East Side,"130 E 19th St APT 3, New York, NY 10003",2,2,"For sale: $1,650,000. Own in historic Gramercy Park. This chic and meticulously renovated floor-through two bedroom, one and a half bath apartment is simply an oasis of calm. Gut renovated to perfection, this sunny 3rd floor apartment (but only 2 flights up!!) features two working fireplaces, N,S,E, W exposures, 10 ceilings, painted white exposed brick wall along entire length of apartment, custom millwork, 7""wide plank reclaimed solid oak wood floors, open kitchen with white quartz countertop & waterfall edge, white lacquer cabinets, Bertazzoni stove top with convection oven, Blomberg refrigerator, built in water filter, floor to ceiling custom bedroom closets, brand new Marvin windows throughout the apartment, Cityquiet windows in the master bedroom, a Runtal radiator in living room, full size Bosch Axxis washer and dryer, & architecturally sleek Element LED Wall Wash Downlight ceiling fixtures. 

Often referred to as Block Beautiful, this historic stretch of 19th Street is one of the most picturesque blocks in Manhattan. Actresses Theda Bara, Lillian and Dorothy Gish, Ethel Barrymore and Helen Hayes are all said to have lived here at one time or another. 130 East 19th Street is a four-unit walk up cooperative built in 1876. Central to nearly everything, including all transportation, coveted restaurants, gourmet food shopping, and the world-famous Union Square farmer's market, the opportunity to live in this very special building should not be missed.",40.736593,-73.98604,https://www.zillow.com:443/homedetails/130-E-19th-St-APT-3-New-York-NY-10003/72516923_zpid/,1650000.00,0,1,1400,1930,10003
47,Lower East Side,NaN,NaN,NaN,NaN,40.7359,-73.9925,https://www.zillow.com:443/homedetails/7-E-14th-St-PHC-New-York-NY-10003/2087942188_zpid/,NaN,NaN,NaN,--,1965,NaN
48,Lower East Side,"445 Lafayette St # 15/16A, New York, NY 10003",6,6,"For sale: $8,190,000. Unusual opportunity to combine two high, full floor apartments to create a 4500sf house in the sky! The combination of 15A and 16A at the highly sought after 445 Lafayette Street, would allow for 6+ bedrooms with floor to ceiling windows, fantastic light and direct Empire State, East River and Freedom Tower views.



Perched above Astor Place, 445 Lafayette is a full-service building located in the highly coveted Noho neighborhood. The iconic curved glass tower was designed by famed architects Charles Gwathmey and Robert Siegel and was built in 2004. Amenities include full-time doormen, concierge services, fitness center, on-site super and garage parking.



Situated at the intersection of Noho, the East Village and Greenwich Village, Astor Place is very conveniently located and is nearby to fantastic restaurants and stores as well as public transportation.



15A and 16A can also be sold separately.",40.729499,-73.991203,https://www.zillow.com:443/homedetails/445-Lafayette-St-15-16A-New-York-NY-10003/2086260603_zpid/,8190000.00,0,1,4496,2004,10003
49,Lower East Side,"17 E 12th St # 6, New York, NY 10003",4,4,"For sale: $10,950,000. Prime Greenwich Village living on a grand scale with deeded parking included! This full-floor, four bedroom, four bathroom apartment sprawls over 4,500 s/f on a single level. Feel the extraordinary proportions immediately after stepping off the private elevator when you are greeted by an expansive 24 foot gallery that leads into almost 50 feet of south facing entertaining areas with views of the Freedom Tower. Two double-sided fire places and pocket doors flank the living room, permitting separation while allowing for flow to and from the media and dining rooms.The media room, an optional fourth bedroom, opens through pocket doors to the east of the living room; opposite the media room is the formal dining room. An enormous state-of-the art, eat-in chef's kitchen designed by Bromley Caldari and created by Poliform Varenna has wonderful natural sunlight through two oversized western-facing windows. The kitchen features automatic touch control cabinetry, a custom hand-painted backsplash, an oversized island and a Miele appliance package that includes 2 full-size dishwashers, a refrigerator, full-height freezer, speed and convection ovens, five burner range with externally vented hood and a Miele professional custom coffee system. The kitchen is flanked by a dedicated butler's pantry with a full-size Subzero wine refrigerator. Across from the butler's pantry is a separate room, perfect for a home office or gym.The master suite measures over 1,000 square feet with two custom walk-in closets. The marble master bathroom feature double vanities, luxurious Bain Ultra jetted soaking tub, steam shower, oversized dry sauna, makeup vanity, custom fixtures by THG and radiant heated floors. The two additional bedrooms are gracious in scale with walk-in closets and en suite bathrooms. This home has luxury touches throughout, from the 11' coffered ceilings to the beautifully customized closets and hand-laid oak herringbone floors. A zoned whole-home audio system, oversized panorama windows equipped with motorized shades, custom lighting, central air-conditioning and a dedicated oversize laundry and two storage rooms complete this home.17 East 12th Street is an exclusive nine unit boutique condominium built in 2016 with homes designed by Bromley Caldari, in collaboration with Richard Mishaan. Each residence is accessed by one of two secured elevators that open directly into the apartment. This full-service condominium offers a full-time doorman, private storage and a deeded parking space which allows residents to come and go discreetly while offering ultimate privacy and security.Real estate taxes for investors, pied-a-terre and LLC, without any abatements or exemptions, is $4852/month.",40.734367,-73.99315,https://www.zillow.com:443/homedetails/17-E-12th-St-6-New-York-NY-10003/244724900_zpid/,10950000.00,0,1,4514,2016,10003
50,Lower East Side,"205 3rd Ave APT 8P, New York, NY 10003",1,1,"For sale: $695,000. Just a few blocks from Union Square, this beautifully renovated apartment has everything you're looking for!

The spacious kitchen is brand new with stainless steel appliances including a Bertazzoni stove, Bosh refrigerator and Bosh dishwasher. The quartz countertops and large island provide tons of space for preparation and the tiled flooring complements the room wonderfully.

The former alcove has been fully walled off with two full height pocket doors to create a proper one bedroom. Ornate tiling and sleek modern fixtures have been added to the bathroom which can be accessed through both the living room and bedroom.

In addition to the entry's large walk-in closet, an addition closet can easily be added in the bedroom.

205 Third Avenue is a full service, doorman, elevator building with a gym, garden, roof deck and on-site garage. Bike storage is also available. The building does not allow dogs (cats OK), pied-a-terres, co-purchasing or guarantors.

All dimensions and sizes are estimates.",40.735919,-73.984773,https://www.zillow.com:443/homedetails/205-3rd-Ave-APT-8P-New-York-NY-10003/72518006_zpid/,695000.00,0,1,575,1964,10003
51,Lower East Side,"39 E 12th St APT 203, New York, NY 10003",1,0,"For sale: $799,000. This dramatic duplex boasts 13.5-foot barrel-vaulted ceilings, exposed brick, oversized windows, and hardwood floors. The updated, open kitchen features granite counter-tops, a butcher block island and stainless steel appliances. The lofted bedroom contains a large, custom walk-in closet. Originally a printing factory, University Mews is a landmarked cast-iron loft building located in the heart of Greenwich Village. The building offers a beautiful, planted roof deck with views of the Empire State Building and Manhattan skyline. Additional amenities include a 24 hour doorman, full-time porter, live in super, and laundry room. This incredible, central location puts you steps away from the city's best Green Market, Whole Foods, Trader Joes, Union Square's eight subway lines, and countless shops and restaurants. Sorry, no dogs allowed.",40.733761,-73.991786,https://www.zillow.com:443/homedetails/39-E-12th-St-APT-203-New-York-NY-10003/72513102_zpid/,799000.00,0,1,700,1900,10003
52,Lower East Side,"45 E 9th St APT 10, New York, NY 10003",2,2,"For sale: $2,495,000. Completely reimagined and prominently featured by Architectural Digest, this impeccably renovated 2-bedroom, 1.5-bathroom maisonette is situated in one of the most sought after buildings in the heart of Greenwich Village. Pin-drop quiet and flooded with light throughout the day, the living and dining room boasts 10' ceilings, custom bookcases, and charming views of the building's private garden. An eat-in kitchen is appointed with custom cabinetry, marble countertops, brass fixtures, and professional-grade appliances by Thermador and Monogram. The jewel box powder room on the first floor is a work of art.

Ascending the staircase to the second floor reveals a king-sized master bedroom complete with an enormous, fully outfitted walk-in closet and a reading nook with custom built-in bookcase. The full, marble-clad bathroom boasts radiant heated floors, brass fixtures, and a glass-enclosed shower and soaking tub. The commodious, sun-drenched second bedroom features 2 walk-in closets. Additional apartment features include hardwood oak floors throughout and an in-unit washer/dryer.

Originally designed by Helmle & Corbett and built in 1924, this immaculately maintained white glove co-op features multiple garden courtyards, a landscaped common roof deck, 24-hour doorman, additional storage, and a live-in superintendent. Pets and pieds-a-terre are permitted.",40.731993,-73.993511,https://www.zillow.com:443/homedetails/45-E-9th-St-APT-10-New-York-NY-10003/72512935_zpid/,2495000.00,0,1,--,1926,10003
53,Lower East Side,NaN,NaN,NaN,NaN,40.727401,-73.990196,https://www.zillow.com:443/homedetails/217-E-5th-St-1A-New-York-NY-10003/2086119166_zpid/,NaN,NaN,NaN,2404,1900,NaN
54,Lower East Side,NaN,NaN,NaN,NaN,40.729181,-73.984824,https://www.zillow.com:443/homedetails/239-E-10th-St-APT-4B-New-York-NY-10003/112086550_zpid/,NaN,NaN,NaN,378,1987,NaN
55,Lower East Side,"32 E 1st St # 4C, New York, NY 10003",3,3,"For sale: $3,775,000. *IMMEDIATE OCCUPANCY*

*SPECTACULAR ON-SITE MODEL RESIDENCE BY APPOINTMENT*

Located at the nexus of Noho, the East Village and the Lower East Side, 32 East 1st Street has been meticulously designed throughout. Residence 4C is a light-filled South/West facing three bedroom, three bathroom residence that features expansive triple-pane windows and brushed solid white oak wood floors. Every single apartment in the building will feature the following: 

-10 FEET CEILINGS THROUGHOUT LIVING ROOM AND BEDROOM
 - INTEGRATED AUDIO SYSTEM IN LIVING ROOM AND BEDROOM BY SONOS
 - HEATED FLOORS IN ALL BATHROOMS
 - 5 INCH SOLID WHITE OAK PLANK WOOD FLOORS
 - LED LIGHTS BY DELTA REO
 - CUSTOM BUILT WALK-IN CLOSETS AND ENTRY CLOSETS BY MOLTENI
- LIGHTING AND ELECTRIC SHADE CONTROLS BY LUTRON CASETA 
- CUSTOM SOLID BRUSHED OAK ITALIAN KITCHEN CABINETS BY GD 
- KITCHEN COUNTERTOP, BACKSPLASH & ISLAND IN NATURAL STONE 


Equal Housing Opportunity. The complete offering terms are in an offering plan available from the Sponsor, under New York State Department of Law File No. CD16-0149. Sponsor: 24 Second Avenue Owner LLC, C/O Aore Holdings, LLC, 49 Bleecker Street, Suite 301, New York, New York 10012.All Artist's Renderings Are For Illustrative Purposes Only And Subject To Variances. Interior Decoration, Finishes, Appliances And Furnishings Depicted In An Artist's Rendering Are Provided For Illustrative Purposes Only, And Are Not Necessarily Indicative Of What Is Specified In The Offering Plan. All Renderings Of Views And Exposure To Light Are For Illustrative Purposes Only And Subject To Variances. Sponsor Makes No Representations As To Any View And/Or Exposure To Light At Any Time Or As The Same May Be Affected By Any Existing Or Future Construction By Either Sponsor Or A Third Party. All Dimensions Are Approximate And Subject To Normal Construction Variances And Tolerances. Square Footage On Floor Plans Exceeds The Usable Floor Area. Minor Inaccuracies In Square Footage And Inaccuracies In Layout And Room Dimensions As Shown On Floor Plans Will Not Excuse A Purchaser From Completing The Purchase Of A Unit Without Abatement In Price Or Recourse Against Sponsor. Sponsor Reserves The Right To Make Changes To A Unit In Accordance With The Offering Plan. Sponsor Makes No Representations Or Warranties Except As May Be Set Forth In The Offering Plan.",40.7243,-73.990402,https://www.zillow.com:443/homedetails/32-E-1st-St-4C-New-York-NY-10003/2091581327_zpid/,3775000.00,0,1,1511,2019,10003
56,Lower East Side,NaN,NaN,NaN,NaN,40.732399,-73.993627,https://www.zillow.com:443/homedetails/28-E-10th-St-APT-4E-New-York-NY-10003/97521216_zpid/,NaN,NaN,NaN,2720,1928,NaN
57,Lower East Side,NaN,NaN,NaN,NaN,40.732308,-73.996103,https://www.zillow.com:443/homedetails/11-5th-Ave-11T-New-York-NY-10003/124032418_zpid/,NaN,NaN,NaN,--,1955,NaN
58,Lower East Side,"15 Union Sq W APT 4C, New York, NY 10003",2,1,"For sale: $2,695,000. MOTIVTED SELLER!!!

Unique opportunity to become the new owner of this spectacular 1 bedroom 1.5 bath loft in the iconic 15USW! 

A union square landmark, this building is the 21st century artistic metamorphosis of Tiffany & Company's 19th century headquarters. The apartment features a living room with 16-foot-high soaring ceilings, as well as the original Tiffany cast iron arches, encased in an exterior floor-to-ceiling glass curtain wall with Northern exposures, providing partial park views. 

The interior staircase leads to the duplex master bedroom, showcasing cast iron arches with a roomy walk-in-closet and spacious master bathroom, including a wet room with custom designed claw foot freestanding tub, and shower column with dual shower heads.

All finishes and fixtures throughout are custom designed by world-renowned designer Vicente Wolf and manufactured exclusively for 15USW by Sherle Wagner.

The residence feature hardwood floors throughout and top of the line appliances: Viking, Sub-Zero and Miele, including a laundry room with a Miele washer/dryer and Crestron Home Technology System.

15 USW offers luxurious five star hotel-worthy amenities including 24 hour doorman, onsite concierge services by Luxury Attache, a beautifully designed spa including a 50' lap pool with oversized whirlpool, his and hers sauna, a massage treatment room, and a state-of-the-art fitness center with yoga studio. Located in Union Square, the crossroads of downtown's most desired neighborhoods: Flatiron, Gramercy, Greenwich Village, West Village, East Village, Chelsea and Soho.",40.7359,-73.991699,https://www.zillow.com:443/homedetails/15-Union-Sq-W-APT-4C-New-York-NY-10003/2129050773_zpid/,2695000.00,0,1,1560,1900,10003
59,Lower East Side,"704 Broadway # 3, New York, NY 10003",3.5,3,"For sale: $7,500,000. Built in 1896, this 19th century 4804sqft loft with brick, barrel vaulted 13-foot ceilings commands your attention upon entering. Built by DeLemos & Cordes with a total of 10 residences, this rarely available, converted loft condominium has 3 (possible 4) massive bedrooms, 3 full baths, plus a powder room with a impressively scaled Great Room measuring 36 x 45. With 5 statuesque cast-iron columns evocative of pre-war grandeur, this private, full-floor loft is perfect for the resident who requires drama and volume. Enjoy impressive entertaining in a vast living room, which has 5 oversized arched windows perched above Greenwich Village, bringing in an abundance of natural light. The floors are covered with rich, mahogany wide-plank wood throughout every room. A discreet wet bar faces a large, open, vented kitchen fitted with the highest-end stainless steel appliances, large eat-in island, custom wood cabinetry, double Viking ovens and cooktop with Subzero refrigerator/freezer. With stunning exposed red brick beautifully lit by inset floor and ceiling pin lights, in this home you can enjoy not only the quintessential loft experience, but a multitude of additional luxuries, such as a 1000-bottle temperature-controlled wine room, central A/C and a Crestron home automation system that controls lighting, shades, and A/C functionality throughout the home. The Master bedroom is adorned with a palatial red brick, vaulted ceiling with corner windows, a separate dressing area and 5-piece spa bath suite with radiant heat, double vanity, oversized stall shower with rain showerhead, and sunken tub. The sprawling secondary bedrooms are both large enough for separate seating areas with en-suite and private bathrooms. Large capacity washer-dryer is fully vented. Astoundingly low common charges and taxes. Freight and passenger elevator available for large-scale art and furniture. The Dandy, located in NoHo, sits at the cross section of Greenwich Village, NYU/Washington Square Park and Soho. In the most vibrant downtown location, 704 Broadway at the epicenter of fashion, historic cast-iron architecture and an exquisite culinary scene. Easy access to multiple important train lines.",40.728599,-73.993698,https://www.zillow.com:443/homedetails/704-Broadway-3-New-York-NY-10003/2098752571_zpid/,7500000.00,0,1,4804,1895,10003
60,Lower East Side,NaN,NaN,NaN,NaN,40.7346,-73.986801,https://www.zillow.com:443/homedetails/142-E-16th-St-15GH-New-York-NY-10003/2085225628_zpid/,NaN,NaN,NaN,--,1963,NaN
61,Lower East Side,"51 5th Ave APT 5E, New York, NY 10003",1,1,"For sale: $1,195,000. Nestled along historic Lower Fifth Avenue, this one-bedroom home has been carefully restored and meticulously renovated, offering a perfect blend of pre-war charm and modern finishes. 

Upon entering the proper foyer, one is immediately greeted by the spacious living room with exposed beams and refinished dark hardwood floors. Intricate design details outfit the space, featuring a wood-burning fireplace with custom hearth, a built-in library and expansive casement windows. 

An original archway highlights the sophisticated and renovated chef's kitchen, fit to entertain. Providing ample storage, the kitchen is outfitted with white lacquer cabinets and stretched Carrara countertops. Top-of-the-line appliances include a Sub-Zero refrigerator, Miele cooktop, Bosch oven, hood and dishwasher, and a Hansgrohe sink. 

Anchoring the living room is the vibrant and elegant master bedroom, featuring expansive windows and custom walk-in closets. The windowed master bathroom is finished with Carrara marble and white tiled walls. 

Additional home features include a full electrical upgrade equipped with Artemide fixtures, original brass doorknobs, and pristine plaster molding. 

Building amenities consist of a 24-hour doorman, live-in superintendent, gym, bike room, laundry in building and private storage. 51 Fifth Avenue is a pre-war cooperative on the Gold Coast of Greenwich Village, situated near Washington Square Park, Union Square Park and numerous choices for world-class dining, shopping and transportation.",40.734385,-73.994349,https://www.zillow.com:443/homedetails/51-5th-Ave-APT-5E-New-York-NY-10003/80619376_zpid/,1195000.00,0,1,--,1929,10003
62,Lower East Side,"67 E 11th St APT 319, New York, NY 10003",1,1,"For sale: $845,000. Beautiful and rarely available, large Southern facing one bedroom open loft with over 15 ft. ceilings. This spacious, duplex has HUGE oversized arched windows, a VERY large walk in closet, original cast iron column, separate kitchen and bright southern facing exposures. 67 East 11th Street is a full service building features a 24-hour concierge, live-in super and roof deck. Prime location with minutes walk to Union square, Washington Square park, Soho and Noho. Only a few blocks from several subways. There is a current assessment which will be over 36 months; this will be an additional $490 a month added to the listed maintenance to increase the buildings reserves.",40.733026,-73.992283,https://www.zillow.com:443/homedetails/67-E-11th-St-APT-319-New-York-NY-10003/244895478_zpid/,845000.00,0,1,789,1930,10003
63,Lower East Side,"115 E 9th St APT 16A, New York, NY 10003",2,3,"For sale: $2,200,000. BEST PRICED THREE-BEDROOM IN GREENWICH VILLAGE!

Opportunity knocks. This three-bedroom, two bathroom co-op is located in a full service building in the heart of Greenwich Village. Located on the sixteenth floor, this ideally laid out unit is sun flooded and boasts South and West exposures with enviable views of downtown Manhattan. Rarely available, this A line offers the possibility to create your dream apartment at an affordable price or move in and enjoy the space as is. All rooms offer excellent proportions and remarkable closets and storage space. 



The Saint Mark is a full service, pet friendly building with doorman and resident manager. Amenities include on-site parking garage, central laundry room, playroom, storage and bike room. Located in the heart of Greenwich Village, this ideal location offers easy access to premiere restaurants, movie theaters, parks and transportation.",40.73043,-73.989811,https://www.zillow.com:443/homedetails/115-E-9th-St-APT-16A-New-York-NY-10003/89024758_zpid/,2200000.00,0,1,1400,1965,10003
64,Lower East Side,"445 Lafayette St # 15A, New York, NY 10003",3,3,"For sale: $3,990,000. SWEEPING 180 degree skyscraper views from this three bedroom, three bathroom home at the highly sought after 445 Lafayette Street. Perched above Astor Place, #15A offers floor to ceiling windows allowing for fantastic light and direct Empire State, East River and Freedom Tower views.



The entry foyer leads to the expansive loft-like living/dining area with northern and eastern exposures. Measuring approximately 25X28 square feet, this area has ample room for entertaining. The open chef's kitchen is complete with a breakfast bar, custom cabinetry and Wolf appliances. A full size laundry room is adjacent the kitchen and is equipped with a Miele washer and dryer.



Behind the living room is a flexible bedroom which can easily be converted into a library or media room with direct access to the living area. On the other end of the apartment is the spacious master suite, featuring eastern and southern views as well as two walk in closets and an en-suite five fixture bathroom. Across the hall is a third bedroom, which faces south and has an en-suite bathroom.



445 Lafayette is a full-service building located in the highly coveted Noho neighborhood. The iconic curved glass tower was designed by famed architects Charles Gwathmey and Robert Siegel and was built in 2004. Amenities include full-time doormen, concierge services, fitness center, on-site super and garage parking.



Situated at the intersection of Noho, the East Village and Greenwich Village, Astor Place is very conveniently located and is nearby to fantastic restaurants and stores as well as public transportation.



There is an opportunity to combine 16A and 15A to create a duplex consisting of almost 4,500 square feet.",40.729499,-73.991203,https://www.zillow.com:443/homedetails/445-Lafayette-St-15A-New-York-NY-10003/2130278217_zpid/,3990000.00,0,1,2248,2004,10003
65,Lower East Side,"205 E 16th St APT 1E, New York, NY 10003",3.5,3,"For sale: $1,995,000. GRAMERCY - Spectacular 3 bdrm Triplex w/ private outdoor space in NYC Landmark.



This spectacular 3 bedroom triplex marries the feel of a European townhouse with the amenities of a full service building. 



This home is located in one of the most architecturally unique, coveted and lauded buildings Downtown. The building is a New York City prewar landmark building with a Full Service 24 hour doorman and is steps away from Union Square, every shopping convenience imaginable and near one of the city's largest transit hubs. 



This spacious 3 bedroom triplex features three and a half marble bathrooms, a 20 foot by 17 foot living room with 17 foot ceilings (great for entertaining) and oversized windows, a private 26 foot by 28 foot outdoor area for quiet enjoyment, a luxurious kitchen with granite countertops and marble floors and a Laundry area.



The home is beautifully accentuated with herringbone-patterned hardwood floors, crown moldings, travertine marble trim and cast iron balustrades.



This home is unlike anything you've ever seen. 



Call today to schedule a private showing. Will not last. All inquiries are kept confidential.",40.734746,-73.986129,https://www.zillow.com:443/homedetails/205-E-16th-St-APT-1E-New-York-NY-10003/143106484_zpid/,1995000.00,0,1,1708,1888,10003
